institute name,location,type,entrance exams,rank,fees(approx),
ABES Engineering College,Uttar Pradesh,Private,JEE Main,,?5.01 L,,
Adamas University - School of Engineering,"Kolkata, West Bengal",Private,WBJEE / JEE Main / AUAT,,?4.61 - 8.73 L,,
Aditya Engineering College,Andhra Pradesh,Private,APEAMCET,,?2.04 - 3.6L,,
AIT - Army Institute of Technology,"Pune, Maharashtra",Government (Army),JEE Main,,10.53L,,
Ajeenkya DY Patil University - School of Engineering,"Pune, Maharashtra",Private,ADYPU CET / JEE Main,,8 - 12L,,
Akal University � Faculty of Engineering and Technology,"Bathinda, Punjab",Private,Own Entrance / JEE Main,,4.37 - 4.42 L,, 
Aligarh Muslim University (ZHCET),"Aligarh, Uttar Pradesh",Central University,AMUEEE / JEE Main ,33,80 K - 1.08 L,,
Alliance University - School of Engineering and Design,"Bangalore, Karnataka",Private,AUSAT / JEE Main,,9 - 20L,,
Amity University,West Bengal,Private,JEE Main / Amity JEE / CUET,,4.6 - 9.8 L,,
Amity University,"Noida, Uttar Pradesh",Private,JEE Main / Merit,30,7.48 - 26.36 L,,
"Amity University Haryana, Gurgaon",Haryana,Private,JEE Main / Merit / AMCAT,,8.2- 18 L,,
"Amity University Rajasthan,Jaipur",Rajasthan,Private,JEE Main/ CUET/ AMCAT,,5.4 - 12.8 L,,
"Amity University, Gwalior",Madhya Pradesh,Private,JEE Main / Merit / AMCAT,,5.68 - 11.04 L,,
Amrita Vishwa Vidyapeetham,Tamil Nadu,Private (Deemed),JEE Main / SAT / Amrita Entrance Exam,23,? 10 - 24 L,,
Andhra University College of Engineering,"Visakhapatnam, Andhra Pradesh",Government,AP EAMCET,90,1.4 - 8 L,,
Anna University,Tamil Nadu,Government,TANCET / JEE Main ,14,17.8 K - 13 L,,
Annamalai University,"Chidambaram, Tamil Nadu",State University,Own Entrance / CUET,,1.5L- 7 L,,
Anurag University,Telangana,Private State University,Anurag CET / TS EAMCET /JEE Main,,12- 14 L,,
Arya College of Engineering and IT,"Jaipur, Rajasthan",Private,REAP / JEE Main,,4.62 L,,
Assam Engineering College,"Guwahati, Assam",Government,Assam CEE,,60 K,,
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Madhya Pradesh,Government,JEE Main,,6.3-8L,,
Atria Institute of Technology,"Bangalore, Karnataka",Private,COMEDK / KCET,,2.95 - 4.17 L,,
Avinashilingam Institute for Home Science and Higher Education,"Coimbatore, Tamil Nadu",Private (Deemed),JEE Main / CUET,,1.48L-5L,,
B. S. Abdur Rahman Crescent Institute of Science and Technology,Tamil Nadu,Private,JEE Main / CIEAT,,12 - 16 L ,,
B.M.S. College of Engineering,Karnataka,Private,KCET/COMEDK/JEE Main ,,"64,700-30L",,
Baba Banda Singh Bahadur Engineering College,"Fatehgarh Sahib, Punjab",Private,PTU / JEE Main,,2.4 L,,
Babasaheb Naik College of Engineering,"Pusad, Maharashtra",Private,MHT CET,,2.19-2.57L ,,
Banasthali Vidyapith � Faculty of Engineering,Rajasthan,Private (Deemed),Own Entrance,78,6.16 L,,
Bangalore Institute of Technology (BIT),"Bengaluru, Karnataka",Private,COMEDK / KCET,,3.86 - 10.46 L,,
